battlecruiser1              us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.166   34.16.119.104    RUNNING
bs3-20250427-124255         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.17    34.58.243.4      RUNNING
bs3-20250427-124257         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.18    34.30.233.54     RUNNING
bs3-20250427-124258         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.19    35.222.34.137    RUNNING
bs3-20250427-140320         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.51    34.45.164.44     RUNNING
bs3-20250427-140321         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.52    34.135.85.220    RUNNING
bs3-20250427-140322         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.53    34.132.31.115    RUNNING
bs3-20250427-140324         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.54    34.66.147.193    RUNNING
bs3-20250427-140325         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.56    34.29.53.60      RUNNING
bs3-20250427-140326         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.57    34.171.114.166   RUNNING
bs3-20250427-153709         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.93    34.69.94.16      RUNNING
bs3-20250427-153710         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.94    34.134.14.129    RUNNING
bs3-20250427-153711         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.95    34.173.62.177    RUNNING
bs3-20250427-153713         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.106   34.29.85.39      RUNNING
bs3-20250427-153715         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.107   34.60.155.75     RUNNING
bs3-20250427-153716         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.108   35.238.235.158   RUNNING
bs3-20250427-165929         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.174   34.57.194.26     RUNNING
bs3-20250427-165951         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.175   34.31.9.245      RUNNING
bs3-20250427-165952         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.176   34.31.38.168     RUNNING
bs3-20250427-165954         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.178   34.55.64.206     RUNNING
bs3-20250427-165956         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.188   34.27.141.157    RUNNING
bs3-20250427-165959         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.189   34.56.238.4      RUNNING
bs3-20250427-183453         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.242   34.45.237.211    RUNNING
bs3-20250427-183454         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.243   34.173.30.4      RUNNING
bs3-20250427-183456         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.244   34.10.121.241    RUNNING
bs3-20250427-183459         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.245   34.72.190.97     RUNNING
bs3-20250427-183501         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.246   35.222.70.227    RUNNING
bs3-20250427-183503         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.247   34.136.8.226     RUNNING
bs3-20250428-094348         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.77    34.55.148.3      RUNNING
bs3-20250428-094350         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.84    34.44.129.228    RUNNING
bs3-20250428-094351         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.145   34.59.73.68      RUNNING
bs3-20250428-094354         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.149   34.70.192.49     RUNNING
bs3-20250428-094406         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.55    34.10.220.42     RUNNING
bs4-20250427-124332         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.20    35.239.250.77    RUNNING
bs4-20250427-124333         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.21    34.10.30.159     RUNNING
bs4-20250427-124334         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.22    34.59.250.16     RUNNING
bs4-20250427-124336         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.23    34.10.190.9      RUNNING
bs4-20250427-124338         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.24    34.30.8.10       RUNNING
bs4-20250427-124339         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.25    34.170.218.53    RUNNING
bs4-20250427-140414         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.58    35.232.210.251   RUNNING
bs4-20250427-140432         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.59    104.198.247.93   RUNNING
bs4-20250427-140434         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.60    34.55.136.181    RUNNING
bs4-20250427-140435         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.61    34.72.149.123    RUNNING
bs4-20250427-140436         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.62    35.232.1.135     RUNNING
bs4-20250427-140438         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.63    34.29.179.109    RUNNING
bs4-20250427-153743         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.109   35.232.46.248    RUNNING
bs4-20250427-153744         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.110   35.223.20.180    RUNNING
bs4-20250427-153745         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.111   35.222.193.127   RUNNING
bs4-20250427-153750         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.112   34.58.120.225    RUNNING
bs4-20250427-153752         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.113   34.71.71.186     RUNNING
bs4-20250427-153753         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.114   34.59.185.127    RUNNING
bs4-20250427-170028         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.190   34.46.159.165    RUNNING
bs4-20250427-170029         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.196   34.41.140.54     RUNNING
bs4-20250427-170030         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.197   34.71.223.192    RUNNING
bs4-20250427-170032         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.198   34.135.13.142    RUNNING
bs4-20250427-170033         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.199   34.135.192.72    RUNNING
bs4-20250427-170035         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.200   34.170.205.122   RUNNING
bs4-20250427-183548         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.248   34.9.85.39       RUNNING
bs4-20250427-183550         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.249   34.9.209.143     RUNNING
bs4-20250427-183554         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.250   35.192.160.158   RUNNING
bs4-20250427-183556         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.251   34.133.144.227   RUNNING
bs4-20250427-183558         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.252   35.222.128.76    RUNNING
bs4-20250427-183600         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.253   34.30.255.80     RUNNING
bs5-20250427-124418         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.26    34.41.216.200    RUNNING
bs5-20250427-124420         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.27    34.136.222.253   RUNNING
bs5-20250427-124423         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.28    35.224.21.126    RUNNING
bs5-20250427-124424         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.29    35.192.92.33     RUNNING
bs5-20250427-124425         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.30    35.238.168.92    RUNNING
bs5-20250427-124643         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.31    34.121.95.218    RUNNING
bs5-20250427-140512         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.64    34.16.27.45      RUNNING
bs5-20250427-140513         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.65    35.225.215.114   RUNNING
bs5-20250427-140515         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.66    34.170.56.23     RUNNING
bs5-20250427-140516         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.67    34.55.161.228    RUNNING
